month,product,sales_amount
2024-07,Product_A,4968.64
2024-08,Product_D,9567.49
2024-07,Product_A,9134.53
2024-03,Product_C,5129.39
2024-05,Product_A,3590.68
2024-05,Product_C,1520.81
2024-02,Product_C,4634.53
2024-06,Product_C,8762.32
2024-06,Product_C,8655.38
2024-01,Product_E,8767.97
2024-08,Product_C,9967.72
2024-08,Product_A,6918.75
2024-08,Product_B,3136.18
2024-05,Product_C,7360.41
2024-06,Product_D,5564.92
2024-08,Product_B,2610.38
2024-06,Product_A,8223.35
2024-05,Product_E,8384.61
2024-01,Product_B,4635.64
2024-04,Product_D,7769.21
2024-07,Product_B,3977.09
2024-09,Product_C,4985.91
2024-07,Product_E,4073.23
2024-06,Product_C,4055.61
2024-05,Product_E,8147.13
2024-07,Product_A,6848.07
2024-01,Product_B,2656.01
2024-02,Product_E,7318.09
2024-02,Product_D,4643.03
2024-04,Product_A,1757.01
2024-04,Product_C,7045.67
2024-02,Product_E,9567.52
2024-04,Product_C,2240.04
2024-02,Product_D,4055.19
2024-02,Product_D,6713.87
2024-05,Product_C,4387.9
2024-06,Product_E,6111.54
2024-02,Product_A,3078.24
2024-09,Product_E,4539.78
2024-05,Product_A,7774.34
2024-01,Product_E,8387.56
2024-04,Product_E,5380.17
2024-04,Product_B,1474.32
2024-07,Product_B,3416.94
2024-08,Product_C,5447.0
2024-07,Product_B,4868.44
2024-04,Product_D,8859.72
2024-07,Product_C,4604.02
2024-02,Product_D,5189.35
2024-04,Product_D,9078.65
2024-05,Product_D,9054.57
2024-07,Product_B,2841.93
2024-07,Product_C,7978.72
2024-05,Product_E,3779.86
2024-07,Product_A,4128.59
2024-02,Product_E,4976.83
2024-04,Product_D,3078.66
2024-02,Product_E,1593.29
2024-02,Product_B,3563.95
2024-06,Product_C,1644.59
2024-04,Product_E,9411.62
2024-05,Product_C,2266.69
2024-02,Product_E,8547.75
2024-03,Product_A,2483.65
2024-03,Product_C,8490.42
2024-04,Product_D,3404.2
2024-07,Product_D,7748.68
2024-03,Product_A,4736.64
2024-02,Product_E,5690.14
2024-07,Product_B,9545.66
2024-05,Product_B,3154.61
2024-06,Product_B,1452.32
2024-01,Product_A,9149.9
2024-08,Product_A,1098.71
2024-04,Product_C,5542.28
2024-03,Product_B,8233.29
2024-04,Product_B,5909.8
2024-08,Product_E,1414.63
2024-08,Product_C,9676.73
2024-07,Product_A,2486.32
2024-03,Product_D,4511.96
2024-02,Product_C,5135.0
2024-01,Product_A,8827.8
2024-03,Product_D,9791.38
2024-01,Product_D,5873.71
2024-03,Product_E,9352.2
2024-02,Product_C,2078.35
2024-08,Product_A,3194.01
2024-02,Product_C,7237.3
2024-01,Product_A,8878.6
2024-05,Product_D,3316.95
2024-05,Product_E,8635.96
2024-02,Product_E,6088.06
2024-01,Product_B,4658.52
2024-06,Product_A,7460.92
2024-03,Product_B,6553.94
2024-05,Product_C,7726.05
2024-07,Product_A,6424.96
2024-08,Product_C,6594.13
2024-01,Product_B,4789.21
2024-04,Product_A,4681.57
2024-06,Product_A,2830.83
2024-05,Product_A,6758.33
2024-02,Product_B,5353.91
2024-04,Product_D,1735.27
2024-04,Product_D,6549.33
2024-05,Product_C,7505.06
2024-06,Product_C,8057.88
2024-04,Product_A,3433.46
2024-03,Product_D,1153.17
2024-07,Product_C,2118.06
2024-09,Product_A,1171.57
2024-05,Product_C,5519.99
2024-01,Product_E,9755.46
2024-07,Product_A,3414.27
2024-06,Product_D,8261.87
2024-03,Product_D,8416.32
2024-03,Product_B,4575.29
2024-05,Product_E,9662.7
2024-05,Product_A,9452.99
2024-03,Product_C,4919.88
2024-05,Product_D,6760.66
2024-01,Product_D,6125.88
2024-04,Product_E,3995.76
2024-05,Product_C,3246.84
2024-08,Product_C,2230.33
2024-06,Product_C,2433.82
2024-06,Product_A,7865.91
2024-08,Product_C,2493.02
2024-03,Product_D,9246.75
2024-03,Product_A,2636.24
2024-01,Product_C,4609.64
2024-06,Product_A,2116.27
